cruise,ship,haul,collection,start_latitude,start_longitude,stop_latitude,stop_longitude,equilibrium_time,haulback_time,surface_temp,surface_temp_method,ship_spd_through_water,itis_tsn,scientific_name,subsample_count,subsample_weight,remaining_weight,presence_only
200307,FR,31,2033,44.1538,-124.4996,44.1535,-124.444,2003-07-19T20:35:00-08,2003-07-19T21:05:00-08,16.9,TSG,3.4,168586,"Trachurus symmetricus",20,5,NA,N
200307,FR,31,2033,44.1538,-124.4996,44.1535,-124.444,2003-07-19T20:35:00-08,2003-07-19T21:05:00-08,16.9,TSG,3.4,172412,"Scomber japonicus",7,1.5,NA,N
200307,FR,32,2034,44.1466,-124.4486,44.1106,-124.4436,2003-07-19T22:50:00-08,2003-07-19T23:20:00-08,16.1,TSG,3.6,161729,"Sardinops sagax",50,10.3,355.6,N
200307,FR,32,2034,44.1466,-124.4486,44.1106,-124.4436,2003-07-19T22:50:00-08,2003-07-19T23:20:00-08,16.1,TSG,3.6,161828,"Engraulis mordax",NA,1,NA,N
200307,FR,32,2034,44.1466,-124.4486,44.1106,-124.4436,2003-07-19T22:50:00-08,2003-07-19T23:20:00-08,16.1,TSG,3.6,161977,"Oncorhynchus kisutch",1,0.8,NA,N
200307,FR,32,2034,44.1466,-124.4486,44.1106,-124.4436,2003-07-19T22:50:00-08,2003-07-19T23:20:00-08,16.1,TSG,3.6,164792,"Merluccius productus",2,0.4,NA,N
200307,FR,32,2034,44.1466,-124.4486,44.1106,-124.4436,2003-07-19T22:50:00-08,2003-07-19T23:20:00-08,16.1,TSG,3.6,172412,"Scomber japonicus",10,2,NA,N
200307,FR,33,2035,44.0838,-124.4515,44.045,-124.4528,2003-07-20T01:07:00-08,2003-07-20T01:37:00-08,15.9,TSG,3.4,82367,Teuthida,NA,1,NA,N
200307,FR,33,2035,44.0838,-124.4515,44.045,-124.4528,2003-07-20T01:07:00-08,2003-07-20T01:37:00-08,15.9,TSG,3.4,161729,"Sardinops sagax",50,11.086,493.18,N
200307,FR,33,2035,44.0838,-124.4515,44.045,-124.4528,2003-07-20T01:07:00-08,2003-07-20T01:37:00-08,15.9,TSG,3.4,164792,"Merluccius productus",10,2,NA,N
200307,FR,33,2035,44.0838,-124.4515,44.045,-124.4528,2003-07-20T01:07:00-08,2003-07-20T01:37:00-08,15.9,TSG,3.4,168586,"Trachurus symmetricus",20,18.2,NA,N
200307,FR,34,2036,44.0143,-124.4481,43.9728,-124.4473,2003-07-20T03:13:00-08,2003-07-20T03:43:00-08,15.7,TSG,3.4,160424,"Prionace glauca",2,64,NA,N
200307,FR,34,2036,44.0143,-124.4481,43.9728,-124.4473,2003-07-20T03:13:00-08,2003-07-20T03:43:00-08,15.7,TSG,3.4,161729,"Sardinops sagax",50,1.0983,63.6,N
200307,FR,34,2036,44.0143,-124.4481,43.9728,-124.4473,2003-07-20T03:13:00-08,2003-07-20T03:43:00-08,15.7,TSG,3.4,164792,"Merluccius productus",2,0.4,NA,N
200307,FR,34,2036,44.0143,-124.4481,43.9728,-124.4473,2003-07-20T03:13:00-08,2003-07-20T03:43:00-08,15.7,TSG,3.4,168586,"Trachurus symmetricus",30,22.7,NA,N
200307,FR,34,2036,44.0143,-124.4481,43.9728,-124.4473,2003-07-20T03:13:00-08,2003-07-20T03:43:00-08,15.7,TSG,3.4,172412,"Scomber japonicus",5,1,NA,N
